2026-04-06 17:39:31 | INFO     | [line] Rendered | x=Month | y=Branch | hue=Region | rows=11
2026-04-06 17:39:31 | INFO     | [renderer] OK | chart_type=line
2026-04-06 17:39:38 | INFO     | [renderer] Routing | chart_type=line | rows=11 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:39:38 | INFO     | [line] Rendered | x=Month | y=Branch | hue=Region | rows=11
2026-04-06 17:39:38 | INFO     | [renderer] OK | chart_type=line
2026-04-06 17:39:39 | INFO     | [renderer] Routing | chart_type=line | rows=11 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:39:39 | INFO     | [line] Rendered | x=Month | y=Branch | hue=Region | rows=11
2026-04-06 17:39:39 | INFO     | [renderer] OK | chart_type=line
2026-04-06 17:39:39 | INFO     | [renderer] Routing | chart_type=kde | rows=11 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:39:39 | INFO     | [kde] Rendered | x=Month | hue=Region | rows=11
2026-04-06 17:39:39 | INFO     | [renderer] OK | chart_type=kde
2026-04-06 17:39:43 | INFO     | [renderer] Routing | chart_type=kde | rows=11 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:39:43 | INFO     | [kde] Rendered | x=Month | hue=Region | rows=11
2026-04-06 17:39:43 | INFO     | [renderer] OK | chart_type=kde
2026-04-06 17:39:44 | INFO     | [renderer] Routing | chart_type=kde | rows=11 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:39:44 | INFO     | [kde] Rendered | x=Month | hue=Region | rows=11
2026-04-06 17:39:44 | INFO     | [renderer] OK | chart_type=kde
2026-04-06 17:39:45 | INFO     | [renderer] Routing | chart_type=scatter | rows=11 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:39:45 | INFO     | [scatter] Rendered | x=Month | y=Month | hue=Region | sample=11/11
2026-04-06 17:39:45 | INFO     | [renderer] OK | chart_type=scatter
2026-04-06 17:39:48 | INFO     | [renderer] Routing | chart_type=scatter | rows=11 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:39:48 | INFO     | [scatter] Rendered | x=Month | y=Month | hue=Region | sample=11/11
2026-04-06 17:39:48 | INFO     | [renderer] OK | chart_type=scatter
2026-04-06 17:39:49 | INFO     | [renderer] Routing | chart_type=scatter | rows=11 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:39:49 | INFO     | [scatter] Rendered | x=Month | y=Month | hue=Region | sample=11/11
2026-04-06 17:39:49 | INFO     | [renderer] OK | chart_type=scatter
2026-04-06 17:39:49 | INFO     | [renderer] Routing | chart_type=boxplot | rows=11 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:39:50 | INFO     | [boxplot] Rendered | x=Month | y=Year | hue=Region | categories=1 | rows=11
